id,page,route,section,caption_in_code,purpose,dimensions,reuse_notes,subject,style_notes,prompt
PDAC-01,Service · PDAC Consulting,/services/pdac,"Right column beside ""3-phase engagement""","PDAC letter, marked up","A single PDAC determination letter on a desk, marked up in red ink. Conveys the editorial / consulting nature of the service.","3:4 portrait, ~900×1200, displays at 380h desktop / 200h mobile.",PDAC service page only.,"Top-down view of a single white PDAC-style letterhead document on a warm-stained walnut desk, with red-pen margin notes, a fountain pen alongside.","Editorial documentary product still-life. Letter content abstract / illegible. NO actual CMS, PDAC, or real DMEPOS letterhead visible.","Editorial top-down photograph, medium-format film, of a single sheet of white US-Letter-sized paper laid on a warm-stained walnut desk, photographed straight overhead. The page is laid out like a formal determination letter — generic government-style header block (abstract / illegible), three short paragraphs of body text (abstract, blurred / out-of-focus enough to be unreadable), and a signature block at the bottom. In the right margin, hand-written red-ballpoint notes circle a phrase mid-page and an arrow points to the signature line. Beside the page rests a black resin fountain pen and a small kraft-paper sticky note with a single illegible scribble. Soft warm window light from camera-left. 3:4 portrait composition. Palette: cream paper, warm walnut, red ink, black resin pen. Slight film grain, no HDR, no glossy retouch, no readable text, no real letterhead, no real agency seal."
EDU-01,Service · Education,/services/education,"Course card — in-person courses (3 instances)","Atlanta lab","Header image for in-person course cards (Certified Fitter Orthotic, ASC Materials Management 2026, Wound Care: selection & billing).","3:2 card, ~1200×800, displays at 160h.","Used for all 3 in-person course cards on this page.","Wide shot of a quiet hands-on training lab — neat row of work tables, fitting tools laid out, late-morning natural light through clerestory windows.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, of a quiet hands-on medical-training classroom in Atlanta, mid-morning. Wide composition of a long row of three pale-wood work tables, each set up with a different hands-on station: orthotic-fitting tools and a foam mannequin lower-leg on one, neatly stacked sterile sample wound dressings on the next, a clipboard and a sample case-cart label on the third. Bright but soft natural daylight from clerestory windows at camera-left fills the room. No people. 3:2 composition. Palette: warm pale wood, cream wall, soft daylight, small flecks of clinical blue and skin-tone foam. Slight film grain, no HDR, no glossy retouch, no fluorescent ceiling glare, no visible logos or text."
EDU-02,Service · Education,/services/education,"Course card — live online courses (3 instances)","live online","Header image for live-online course cards (HCPCS Level II, PDAC Submission Masterclass, Incontinence product formulary).","3:2 card, ~1200×800, displays at 160h.","Used for all 3 live-online course cards on this page.","Over-the-shoulder view of a learner at a home or small-office desk on a video-class call.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, over-the-shoulder view from behind an anonymous learner sitting at a small home desk in front of a 27-inch monitor. The monitor displays a generic video-class layout (one instructor tile and a grid of small participant tiles, all blurred / abstract enough that no faces or identifiers are legible — no real brand UI, no Zoom or Teams logos visible). On the desk: an open spiral notebook with hand-drawn diagrams (abstract), a ceramic mug of coffee, and a pair of horn-rimmed reading glasses. Warm side window light from camera-left. The learner's back of head and shoulder is in soft focus. 3:2 composition. Palette: cream wall, warm wood desk, soft amber light, small cool monitor glow. Slight film grain, no HDR, no glossy retouch, no readable text, no recognizable software UI."
DIST-01,Service · Distribution,/services/distribution,"Left column beside ""How we ship to you""","warehouse · pick path","Wide pick-path image illustrating the distribution operation. Pairs with a numbered 5-step shipping process on the right.","16:9 wide, ~1920×1080, displays at 520h desktop / 240h mobile.","Distribution service page only — but visually similar to HOME-01; choose a different aisle / camera angle so the two don't read as identical.","Anonymous picker walking a labeled pick path between two pallet rack runs, scanner in hand, mid-stride.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, of an anonymous warehouse picker mid-stride walking down a clearly marked pick path between two long pallet-rack runs in a working medical-supply distribution center. The picker is in soft focus, three-quarters from behind, wearing a plain dark hi-vis vest, a handheld barcode scanner held at hip height. Foreground racks are sharp — neatly stacked plain kraft cases (no brand logos). Painted yellow pick-path lines on the polished concrete floor lead the eye toward a far roll-up dock door where warm afternoon light spills in. 16:9 wide. Palette: kraft brown, warm amber light, hi-vis lime accent, deep ink shadow. Slight film grain, no HDR, no fluorescent cyan, no readable text, no logos."
PROD-01,Catalog + PDP + Homepage Featured,"/catalog, /products/UM-ORTH-0412, /","Product tile + PDP main + homepage featured","knee brace, side view","Hero product photo for SKU UM-ORTH-0412 — PDAC-Approved Knee Brace (HCPCS L1832). Used as the primary catalog tile (210h), homepage featured tile (210h), and PDP main image (560h).","Square / 4:3 product, ~1600×1200 source so it crops cleanly at all sizes. Plus 4 alternate angles for the PDP thumbnail strip (front, back, detail, packaging) at ~600×600 each.","Single asset (plus thumb set) used on Catalog, Homepage Featured, PDP main.","Black-and-grey hinged knee brace, side profile, on warm cream paper.","Editorial product photo on warm cream seamless. NO brand logos. Real-product feel, not glossy.","Editorial product photograph, medium-format film, of a single hinged orthotic knee brace shot on a warm cream seamless paper background. Brace is dark grey neoprene with black nylon straps and brushed-aluminum side hinges, photographed in side profile so both hinges and the strap routing are clearly visible. No real brand logos. Soft natural daylight from camera-left, gentle drop shadow under the brace. 4:3 composition with the brace center-right, leaving negative space at left for type. Plus 4 alternate-angle frames of the same brace on the same background for the PDP thumbnail strip: 1) front (straps facing camera), 2) back (closure visible), 3) detail (close crop on a hinge), 4) packaging (a plain kraft retail box, lid open, brace visible inside on white tissue). Palette: cream, dark grey, brushed aluminum. Slight film grain, no HDR, no glossy retouch, no logos."
PROD-02,Catalog + PDP + Homepage Featured,"/catalog, /products/UM-DIAG-0077, /",Product tile + PDP main + homepage featured,"test cassette on tray","Hero photo for SKU UM-DIAG-0077 — COVID/Flu A+B/RSV 3-in-1 rapid test (25 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single rapid-test cassette laid on a small white lab tray with a foil-wrapped swab and a buffer vial.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single rapid-test cassette (white plastic, three labeled test windows abstracted, no real brand logos) laid on a small white lab tray on a warm cream seamless paper background. Beside the cassette: a foil-wrapped sterile swab pack and a small buffer-solution dropper vial. Soft natural daylight from camera-left. 4:3 composition. Plus 4 alternate-angle thumbs: 1) front (cassette face-up), 2) back (cassette flipped), 3) detail (close crop on the test windows), 4) packaging (a plain white retail box of the test). Palette: cream, white plastic, foil silver. Slight film grain, no HDR, no glossy retouch, no real brand text or logos."
PROD-03,Catalog + PDP + Homepage Featured,"/catalog, /products/UM-PPE-1108, /",Product tile + PDP main + homepage featured,"gloves, open box","Hero photo for SKU UM-PPE-1108 — Nitrile Exam Gloves, Chemo-Rated (100 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Open dispenser box of dark-blue chemo-rated nitrile exam gloves, two gloves slightly pulled out of the slot.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of an opened dispenser box of dark-blue chemo-rated nitrile exam gloves on a warm cream seamless paper background. Two gloves are pulled partway out of the dispenser slot, draping naturally. Box is plain kraft cardboard with one small abstract no-brand label. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (dispenser slot facing camera), 2) back (plain box back), 3) detail (close crop on a single glove showing texture), 4) packaging (case of 10 boxes stacked). Palette: cream, deep navy-blue glove, kraft brown box. Slight film grain, no HDR, no glossy retouch, no real brand text or logos."
PROD-04,Catalog + PDP + Homepage Featured,"/catalog, /products/UM-WND-0231, /",Product tile + PDP main + homepage featured,"wound dressing packet","Hero photo for SKU UM-WND-0231 — Hydrocolloid Dressing 4×4 (10 ct, HCPCS A6234).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single sealed foil hydrocolloid dressing pouch on cream paper.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single sealed white-and-foil hydrocolloid wound-dressing pouch on a warm cream seamless paper background. Pouch is rectangular, ~4x4 inches, with abstract no-brand markings. Soft natural daylight from camera-left, gentle drop shadow. 4:3 composition. Plus 4 angle thumbs: 1) front (pouch face-up), 2) back, 3) detail (close crop on the seal edge), 4) packaging (a 10-count kraft outer carton). Palette: cream, white pouch, faint silver foil. Slight film grain, no HDR, no glossy retouch, no real brand text."
PROD-05,Catalog + PDP,"/catalog, /products/UM-IV-5510",Product tile + PDP main,"iv saline bags","Hero photo for SKU UM-IV-5510 — 0.9% Sodium Chloride 1000mL (12 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single 1000mL clear IV saline bag on a stainless drip pole, plus the carton base it ships in.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single 1000mL clear IV-bag of 0.9% sodium chloride hanging from a slim brushed-stainless drip-pole hook against a warm cream seamless paper background. Bag is clear with abstract no-brand label printing visible but illegible. Soft natural daylight from camera-left. 4:3 composition with the bag center-frame, drip pole at right. Plus 4 angle thumbs: 1) front, 2) back (label flipped), 3) detail (close crop on the spike port), 4) packaging (a 12-count kraft case opened to show bags inside). Palette: cream, clear/white, brushed stainless. Slight film grain, no HDR, no glossy retouch, no real brand text."
PROD-06,Catalog + PDP,"/catalog, /products/UM-ORTH-0556",Product tile + PDP main,"walker boot, 3/4","Hero photo for SKU UM-ORTH-0556 — Pneumatic Walker Boot, Tall (HCPCS L4361).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Tall pneumatic walker boot, three-quarter angle, no foot inside.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single tall pneumatic walker boot on a warm cream seamless paper background, photographed at a three-quarter angle so the dark grey shell, black straps, hand-pump bulb, and rocker sole are all visible. No foot inside, brace stands on its own sole. No real brand logos. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (straps facing camera), 2) back (heel), 3) detail (close crop on the hand-pump valve), 4) packaging (a plain kraft retail box with the boot just visible inside). Palette: cream, dark grey, black, brushed-grey rocker sole. Slight film grain, no HDR, no glossy retouch."
PROD-07,Catalog + PDP,"/catalog, /products/UM-DIAG-0240",Product tile + PDP main,"test strip panel","Hero photo for SKU UM-DIAG-0240 — Multi-Drug Surface Test 12-panel (50 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single 12-panel multi-drug test card laid flat on a small lab tray.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single 12-panel multi-drug-of-abuse test card laid flat on a small white lab tray on a warm cream seamless paper background. Card has 12 abstract test windows in a 4x3 grid, no real brand logos. Beside the card: a small dropper bottle of buffer fluid. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (panel face up), 2) back, 3) detail (close crop on the test windows), 4) packaging (a 50-count kraft outer box). Palette: cream, white plastic, faint amber accents. Slight film grain, no HDR, no glossy retouch, no real brand text."
PROD-08,Catalog + PDP,"/catalog, /products/UM-CAP-9901",Product tile + PDP main,"pulse ox on finger","Hero photo for SKU UM-CAP-9901 — Clinical-Grade Pulse Oximeter (HCPCS E0445).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single fingertip pulse oximeter clipped on an anonymous index finger, photographed against warm cream paper.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single fingertip pulse oximeter clipped onto an anonymous adult index finger (skin tone neutral, hand from camera-right, only the finger visible — no face, no wrist tattoos). Device is small, dark-grey resin housing with a small abstract LCD readout (numbers blurred / illegible — no real brand logo). Background is warm cream seamless paper. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (LCD facing camera), 2) back, 3) detail (close crop on the device alone, no finger), 4) packaging (a plain kraft retail box). Palette: cream, dark grey, neutral skin, faint LCD glow. Slight film grain, no HDR, no glossy retouch, no real readable digits or logos."
PROD-09,Catalog + PDP,"/catalog, /products/UM-ORTH-0701",Product tile + PDP main,"wrist orthosis","Hero photo for SKU UM-ORTH-0701 — Wrist-Hand Orthosis, Universal (HCPCS L3908).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Universal wrist-hand orthotic brace, three-quarter angle, palm side visible.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single universal wrist-hand orthosis brace on a warm cream seamless paper background, photographed at a three-quarter angle showing the palm-side metal stay, padded interior, and Velcro straps. No real brand logos. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (palm-side), 2) back (top of hand), 3) detail (close crop on the metal stay), 4) packaging (a plain kraft retail box). Palette: cream, dark grey, black straps, brushed-aluminum stay. Slight film grain, no HDR, no glossy retouch."
PROD-10,Catalog + PDP,"/catalog, /products/UM-PPE-1209",Product tile + PDP main,"surgical mask box","Hero photo for SKU UM-PPE-1209 — Level 3 Surgical Mask, Tie-On (50 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Open dispenser box of pale-blue tie-on surgical masks, top mask slightly pulled forward.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of an open dispenser box of pale-blue tie-on Level-3 surgical masks on a warm cream seamless paper background. Box is plain kraft with one small abstract no-brand label. The top mask is pulled slightly forward so its tie-on strings drape over the box edge naturally. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (dispenser slot), 2) back, 3) detail (close crop on a single mask showing the pleat), 4) packaging (a case of 10 boxes stacked). Palette: cream, kraft brown, pale clinical blue. Slight film grain, no HDR, no glossy retouch."
PROD-11,Catalog + PDP,"/catalog, /products/UM-WND-0455",Product tile + PDP main,"silicone foam bordered","Hero photo for SKU UM-WND-0455 — Silicone Foam Border Dressing 6×6 (10 ct, HCPCS A6212).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single sealed foil pouch of a 6x6 silicone-foam-border wound dressing.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single sealed foil-and-paper pouch of a 6x6 silicone-foam-border wound dressing on a warm cream seamless paper background. Pouch has abstract no-brand markings. Beside it lies a single unwrapped sample dressing showing the soft pink foam pad and the clear silicone-adhesive border. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (pouch sealed), 2) back, 3) detail (close crop on the dressing border showing the silicone adhesive), 4) packaging (a 10-count kraft outer carton). Palette: cream, soft foam pink, faint silver foil. Slight film grain, no HDR, no glossy retouch, no real brand text."
PROD-12,Catalog + PDP,"/catalog, /products/UM-CAP-7720",Product tile + PDP main,"tabletop autoclave","Hero photo for SKU UM-CAP-7720 — Tabletop Autoclave, 12L. Capital equipment.","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Compact tabletop steam autoclave on a warm cream paper background.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single compact tabletop steam autoclave (~12-liter chamber) on a warm cream seamless paper background, photographed at a slight three-quarter angle. White enamel housing, brushed-stainless circular door, small abstract LCD control panel on the front (no real brand logos, illegible readout). Soft natural daylight from camera-left, gentle drop shadow. 4:3 composition. Plus 4 angle thumbs: 1) front (door facing camera), 2) back (vent and power inlet), 3) detail (close crop on the brushed-stainless door wheel), 4) packaging (the device on a wood pallet wrapped in stretch film). Palette: cream, white enamel, brushed stainless. Slight film grain, no HDR, no glossy retouch, no real brand text."
PROD-13,Catalog + PDP,"/catalog, /products/UM-IV-5621",Product tile + PDP main,"lactated ringers bag","Hero photo for SKU UM-IV-5621 — Lactated Ringer's 1000mL (12 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single 1000mL clear Lactated Ringer's IV bag on a slim drip pole.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single 1000mL clear IV-bag of Lactated Ringer's solution hanging from a slim brushed-stainless drip-pole hook against a warm cream seamless paper background. Bag is clear with abstract no-brand printing (a faint pink tint to the fluid distinguishes it from PROD-05). Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front, 2) back, 3) detail (close crop on the spike port), 4) packaging (a 12-count kraft case opened). Palette: cream, faint warm-pink fluid, brushed stainless. Slight film grain, no HDR, no glossy retouch, no real brand text."
PROD-14,Catalog + PDP,"/catalog, /products/UM-DIAG-0341",Product tile + PDP main,"a1c reader strip","Hero photo for SKU UM-DIAG-0341 — A1c Hemoglobin POC test (20 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Small handheld POC A1c reader device with a single test strip inserted, on cream paper.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single small handheld point-of-care A1c hemoglobin reader on a warm cream seamless paper background, with a single white test strip inserted into its slot. Reader is small grey-resin housing, abstract LCD readout (numbers illegible, no real brand logos). Beside the reader rests a sealed foil test-strip pouch. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (LCD facing camera), 2) back, 3) detail (close crop on the inserted strip), 4) packaging (a 20-count kraft retail box). Palette: cream, dark grey, white strip, faint LCD glow. Slight film grain, no HDR, no glossy retouch, no real readable digits or logos."
PROD-15,Catalog + PDP,"/catalog, /products/UM-ORTH-0892",Product tile + PDP main,"cervical collar foam","Hero photo for SKU UM-ORTH-0892 — Adjustable Cervical Collar (HCPCS L0180).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single soft foam adjustable cervical collar on cream paper.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single soft pale-grey foam adjustable cervical collar on a warm cream seamless paper background, photographed in three-quarter angle so both the chin notch and the velcro closure tab are visible. No real brand logos. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (chin notch facing camera), 2) back (closure tab), 3) detail (close crop on the foam texture and edge binding), 4) packaging (a plain kraft retail box). Palette: cream, soft pale grey foam, white binding. Slight film grain, no HDR, no glossy retouch."
PROD-16,Catalog + PDP,"/catalog, /products/UM-PPE-1350",Product tile + PDP main,"isolation gown packed","Hero photo for SKU UM-PPE-1350 — AAMI Level 3 Isolation Gown (10 ct).","4:3 product, ~1600×1200 main + 4 angle thumbs.",Single asset (plus thumb set).,"Single folded AAMI Level 3 isolation gown in its sealed clear retail pack.",Editorial product photo on warm cream seamless.,"Editorial product photograph, medium-format film, of a single folded AAMI Level 3 isolation gown sealed inside its clear plastic retail pouch, on a warm cream seamless paper background. Gown is pale clinical blue, neatly folded so its tie-back straps are visible through the clear pouch. Pouch has a small abstract no-brand label. Soft natural daylight from camera-left. 4:3 composition. Plus 4 angle thumbs: 1) front (pouch face-up), 2) back, 3) detail (close crop on the cuff and the AAMI level marking — abstract / illegible), 4) packaging (a 10-count kraft outer carton). Palette: cream, pale clinical blue, clear plastic. Slight film grain, no HDR, no glossy retouch, no real brand text."
